Year,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5,Rep_6,Rep_7,Rep_8,Rep_9,Rep_10,Rep_11,Rep_12,Rep_13,Rep_14,Rep_15,Rep_16,Rep_17,Rep_18,Rep_19,Rep_20,Rep_21,Rep_22,Rep_23,Rep_24,Rep_25,Rep_26,Rep_27,Rep_28,Rep_29,Rep_30,Rep_31,Rep_32,Rep_33,Rep_34,Rep_35,Rep_36,Rep_37,Rep_38,Rep_39,Rep_40,Maxdesv,Mean,Mindesv,Generation
2012,225.92,236.303,197.176,254.169,212.706,357.387,255.052,302.518,242.588,223.264,378.654,319.102,319.6,407.636,249.158,299.732,322.66,405.736,285.466,218.618,233.548,252.273,203.368,294.997,220.654,395.87,340.741,266.844,250.974,252.309,301.806,283.738,244.141,307.21,326.641,370.586,304.436,207.718,366.964,285.204,303.0668674595513,284.471,265.8751325404487,1.0
2008,225.92,236.303,197.176,254.169,212.706,357.387,255.052,302.518,242.588,223.264,378.654,319.102,319.6,407.636,249.158,299.732,322.66,405.736,285.466,218.618,233.548,252.273,203.368,294.997,220.654,395.87,340.741,266.844,250.974,252.309,301.806,283.738,244.141,307.21,326.641,370.586,304.436,207.718,366.964,285.204,303.0668674595513,284.471,265.8751325404487,2.0
2004,225.92,236.303,197.176,254.169,212.706,357.387,255.052,302.518,242.588,223.264,378.654,319.102,319.6,407.636,249.158,299.732,322.66,405.736,285.466,218.618,233.548,252.273,203.368,294.997,220.654,395.87,340.741,266.844,250.974,252.309,301.806,283.738,244.141,307.21,326.641,370.586,304.436,207.718,366.964,285.204,303.0668674595513,284.471,265.8751325404487,3.0
2000,220.766,219.861,203.023,249.21,221.649,312.077,253.955,294.189,236.759,222.046,317.518,297.909,283.585,331.827,240.198,267.832,291.386,315.872,248.473,207.187,220.989,254.252,211.165,254.661,215.262,337.319,293.264,255.354,245.896,231.361,266.922,258.411,234.559,269.147,312.287,290.515,262.724,209.944,315.984,256.759,266.8957060125895,255.0075,243.11929398741046,4.0
1996,220.387,218.912,206.009,248.576,223.594,306.43,253.842,291.047,236.76,222.269,307.517,288.337,279.702,315.438,237.212,264.21,286.173,295.037,241.11,206.756,220.345,252.914,212.459,252.824,213.994,330.69,286.893,252.474,244.639,228.37,254.217,252.412,230.669,264.311,295.265,285.134,258.254,210.3,324.908,254.924,263.7771351259306,252.869,241.9608648740694,5.0
1992,221.047,218.517,206.444,247.296,224.008,289.87,246.963,290.417,236.802,221.696,296.631,285.415,271.965,274.7,235.834,259.973,277.227,280.935,240.42,206.305,219.332,253.859,212.346,251.835,213.271,319.859,284.16,252.244,243.047,227.288,243.782,248.737,227.408,263.409,281.655,278.828,256.605,210.043,322.535,254.27,259.91376999402104,250.286,240.65823000597894,6.0
1988,220.888,218.067,206.32,246.987,224.023,288.577,245.238,283.26,236.947,221.362,291.743,285.134,268.667,273.882,234.381,258.711,274.676,278.59,240.031,206.572,216.709,251.864,212.36,251.141,212.518,306.134,283.106,251.332,242.316,226.288,241.125,246.783,224.016,263.249,273.349,276.104,253.139,210.002,316.662,252.928,258.15146950218093,249.064,239.97653049781908,7.0
1984,221.95,219.538,207.601,239.887,226.175,230.685,239.17,263.585,239.829,217.5,236.432,254.236,238.153,227.1,215.047,228.188,230.425,263.903,231.019,204.37,214.034,231.28,214.032,245.16,211.899,259.677,255.067,249.516,236.491,218.773,221.568,245.542,214.188,241.012,230.298,244.83,234.373,210.946,274.172,237.447,236.42332618597916,231.1495,225.87567381402081,8.0
1980,221.315,217.352,208.456,233.454,225.057,221.875,237.952,256.758,237.883,216.812,225.67,243.295,231.681,203.11,210.803,220.52,223.73,246.441,211.082,202.937,210.793,222.781,212.216,235.886,206.216,230.808,246.503,242.008,235.189,213.32,207.383,242.684,212.652,228.47,225.225,235.346,230.678,210.18,237.982,232.37,229.4302815185262,225.141,220.8517184814738,9.0
1976,220.168,210.482,208.109,230.505,224.269,211.56,235.911,250.319,236.603,219.189,216.976,237.93,225.677,181.947,210.069,216.583,218.458,219.802,203.121,202.465,202.295,208.402,213.979,228.275,203.706,212.04,239.855,233.739,234.489,211.53,201.019,240.571,210.777,223.354,211.371,219.328,227.289,210.324,225.433,231.286,223.13846437544024,218.8235,214.50853562455976,10.0
1972,220.302,209.367,209.723,230.033,224.166,204.708,229.742,244.98,236.479,219.394,203.549,229.434,221.401,184.581,208.333,213.794,215.718,210.756,201.807,202.012,201.319,202.982,214.666,222.981,201.894,210.246,232.508,229.802,228.179,210.477,193.245,240.643,207.754,220.828,206.794,212.761,221.991,209.79,214.52,229.51,218.26045182708438,214.157,210.05354817291564,11.0
1968,227.22,204.522,212.027,226.247,222.466,200.666,225.076,214.38,229.484,217.798,199.614,214.787,213.649,174.295,204.215,199.108,205.403,208.642,196.268,205.927,194.987,200.348,217.226,218.379,203.919,202.407,226.685,219.426,227.677,207.071,181.178,236.2,199.369,214.037,195.49,201.583,204.463,209.331,188.393,221.653,212.08617344756595,207.85649999999998,203.626826552434,12.0
1964,228.733,199.876,216.346,221.535,221.565,187.289,222.381,207.673,225.874,217.352,188.909,202.36,203.475,172.899,204.482,190.09,198.046,205.858,195.929,207.258,193.249,191.693,220.081,212.839,201.662,188.523,217.305,217.832,225.07,203.308,182.056,235.506,197.926,207.361,190.644,202.267,194.53,210.539,181.695,217.751,208.55900274505905,203.9785,199.39799725494095,13.0
1960,228.488,200.371,218.929,212.994,221.826,180.559,219.379,204.592,221.49,214.334,183.123,201.135,193.889,170.17,202.661,184.738,194.215,199.948,192.181,208.62,191.05,185.375,218.993,211.842,201.913,179.827,213.208,214.35,221.774,200.796,178.068,231.474,194.004,206.563,175.257,206.201,188.173,205.017,179.275,200.965,206.4599058714014,201.524,196.5880941285986,14.0
1956,227.085,200.352,221.294,205.623,220.866,175.212,217.421,194.307,215.271,212.919,179.581,195.871,192.856,159.409,201.302,180.475,191.598,197.024,189.026,208.693,192.241,185.47,217.197,212.377,203.078,171.023,211.145,209.503,221.198,200.829,177.195,226.326,191.434,201.842,173.995,205.693,190.154,203.395,177.689,195.702,205.76256133344037,200.59050000000002,195.41843866655967,15.0
1952,226.244,198.99,225.794,198.794,221.458,172.445,207.413,184.878,214.672,214.382,172.23,195.559,187.291,159.855,196.971,173.222,190.062,195.234,183.605,204.578,195.727,182.121,214.989,206.269,201.14,168.948,211.198,211.609,216.323,203.446,182.533,222.725,192.42,191.909,172.029,198.471,181.77,202.41,179.588,186.099,201.65827788188753,196.349,191.03972211811245,16.0
1948,225.164,197.881,226.114,197.421,220.493,170.014,199.146,182.612,213.394,211.707,170.659,195.686,179.844,157.299,192.563,171.315,187.571,193.623,178.112,202.943,194.584,182.995,213.614,202.788,204.9,166.815,209.49,207.482,214.329,202.802,175.378,220.179,192.664,188.325,168.101,197.131,182.937,201.207,175.931,184.109,200.60068826042541,195.135,189.66931173957457,17.0
1944,225.699,201.219,226.656,196.082,221.162,171.699,195.447,182.357,209.144,209.288,166.837,192.921,179.727,153.801,190.132,167.731,187.582,189.948,178.116,203.689,195.299,176.131,211.629,198.689,204.886,165.662,203.583,200.375,213.312,201.317,172.31,216.984,189.656,182.711,159.999,198.417,180.294,200.711,174.911,182.619,199.75976595241,194.11,188.46023404759003,18.0
1940,225.939,198.873,228.704,194.317,221.179,170.622,190.266,179.687,206.204,208.837,166.351,192.973,176.948,153.613,190.191,165.9,187.025,186.422,178.612,203.373,191.982,174.664,206.994,195.913,206.017,163.187,200.631,195.457,211.937,198.32,172.079,214.806,189.419,177.753,157.0,198.558,175.702,200.763,171.708,177.794,196.8991910558775,191.124,185.34880894412248,19.0
1936,227.598,200.827,226.127,191.592,220.684,168.942,189.869,183.395,202.505,211.561,168.306,192.778,179.013,148.765,190.689,168.739,187.244,181.052,184.275,207.113,194.052,171.708,203.765,197.549,207.288,162.746,190.096,191.355,214.651,199.399,173.446,212.306,189.965,181.309,154.025,196.354,173.361,195.729,169.498,173.379,196.24495614703827,190.39249999999998,184.5400438529617,20.0
