Year,Maxdesv,Mean,Mindesv
2010,23.562690994414183,23.143549999999998,22.724409005585812
2006,23.562690994414183,23.143549999999998,22.724409005585812
2002,23.562690994414183,23.143549999999998,22.724409005585812
1998,23.562690994414183,23.143549999999998,22.724409005585812
1994,26.70093899532704,26.0116,25.322261004672963
1990,29.292691919834287,28.14995,27.007208080165714
1986,37.81692645140656,35.917950000000005,34.01897354859345
1982,54.28796455624131,50.77855,47.26913544375869
1978,213.4696184217867,196.5795,179.6893815782133
1974,312.8432874677594,294.7935,276.7437125322406
1970,324.8981881861735,308.923,292.9478118138265
1966,336.31354485569454,319.849,303.38445514430543
1962,353.10199399534736,337.5625,322.02300600465264
1958,380.82854638489613,363.21799999999996,345.6074536151038
1954,410.7983444798696,389.8745,368.9506555201304
1950,420.11171066958485,397.47950000000003,374.8472893304152
1946,488.2930616785435,465.5425,442.79193832145654
1942,512.1710012917712,486.9805,461.7899987082289
1938,526.5965322082453,498.19849999999997,469.80046779175467
1934,567.4995901685845,538.204,508.9084098314154
1930,679.1897630233609,647.4359999999999,615.6822369766389
1926,761.623244868176,723.4455,685.2677551318241
1922,806.3833344623266,763.6120000000001,720.8406655376735
1918,921.2220116348642,874.2825,827.3429883651359
1914,1089.62169392233,1029.705,969.7883060776699
1910,1168.1105626651877,1100.815,1033.5194373348124
1906,1304.994107766166,1231.705,1158.4158922338338
1902,1391.373772475137,1315.845,1240.316227524863
1898,1464.1364466237922,1384.1999999999998,1304.2635533762075
1894,1594.2533193958,1517.97,1441.6866806042
1890,1688.7704647624569,1611.865,1534.9595352375432
1886,1766.3882620683967,1686.5,1606.6117379316033
1882,1846.7465143806778,1767.1799999999998,1687.6134856193219
1878,1859.9065019268419,1783.71,1707.5134980731582
1874,1928.0332402039971,1852.5900000000001,1777.1467597960032
1870,1993.285884602122,1915.475,1837.6641153978778
1866,2020.9781488191625,1938.83,1856.6818511808374
1862,2055.8554111846133,1970.42,1884.9845888153868
1858,2096.326973063248,2011.23,1926.1330269367522
1854,2094.8809275616873,2011.4,1927.919072438313
1850,2136.277866238016,2053.05,1969.8221337619846
1846,2141.296538830202,2058.24,1975.1834611697975
1842,2170.6151316110836,2085.335,2000.0548683889165
1838,2188.4461682237943,2099.4700000000003,2010.493831776206
1834,2187.3650969090104,2097.795,2008.22490309099
1830,2190.0260517721727,2098.895,2007.7639482278273
1826,2204.061319861923,2112.58,2021.0986801380766
1822,2242.2728850209014,2149.645,2057.0171149790986
1818,2257.571262198781,2164.835,2072.098737801219
1814,2257.904660946993,2164.645,2071.385339053007
1810,2237.089057678192,2142.62,2048.1509423218076
1806,2247.7491988062825,2151.125,2054.5008011937175
1802,2281.5460283736006,2182.5249999999996,2083.5039716263987
1798,2301.57283605177,2202.675,2103.7771639482303
1794,2307.7716747230484,2210.0,2112.2283252769516
1790,2282.551278413768,2186.2799999999997,2090.0087215862313
1786,2279.187843756323,2181.92,2084.652156243677
1782,2273.609542750403,2173.865,2074.1204572495967
1778,2302.1833659330414,2199.635,2097.086634066959
1774,2279.194388525776,2177.515,2075.8356114742237
1770,2237.9558168483672,2133.775,2029.5941831516332
1766,2243.5251752387903,2136.205,2028.8848247612093
1762,2228.0098412753764,2120.535,2013.0601587246233
1758,2225.4849513761214,2113.8100000000004,2002.1350486238796
1754,2217.50549861526,2099.4700000000003,1981.4345013847405
1750,2184.7119248012764,2064.02,1943.3280751987238
1746,2136.536280022064,2016.62,1896.7037199779359
1742,2117.774747497265,1993.025,1868.2752525027356
1738,2118.470433878815,1989.455,1860.4395661211845
1734,2011.8459258266591,1881.615,1751.3840741733409
1730,1939.667399693843,1813.405,1687.142600306157
1726,1880.3434875661744,1750.84,1621.3365124338254
1722,1871.647224792513,1746.6999999999998,1621.7527752074866
1718,1791.4484087915457,1669.135,1546.8215912084543
1714,1749.329072107419,1619.885,1490.440927892581
1710,1700.189012409687,1571.335,1442.4809875903131
1706,1688.320652881215,1558.54,1428.759347118785
1702,1647.7217973233783,1517.67,1387.6182026766219
1698,1571.0730096917805,1446.5149999999999,1321.9569903082192
1694,1489.5851309367006,1365.62,1241.6548690632992
1690,1372.8746934824871,1252.725,1132.5753065175127
1686,1293.7715563112458,1174.0900000000001,1054.4084436887545
1682,1188.6774472018228,1070.62,952.562552798177
1678,1102.5286399791785,985.623,868.7173600208216
1674,1042.5646102034693,927.2245,811.8843897965307
1670,1029.0773898646953,912.806,796.5346101353048
1666,1009.3874788323874,898.316,787.2445211676127
1662,1015.1954012910957,903.6905,792.1855987089044
1658,986.9611138939221,876.7874999999999,766.6138861060778
1654,973.8013868564349,865.6990000000001,757.5966131435653
1650,957.1161412600571,856.3415,755.5668587399429
1646,1004.4836197967478,904.1375,803.7913802032523
1642,1019.3521454673364,916.2475,813.1428545326635
1638,1078.0107087549447,979.4780000000001,880.9452912450555
1634,1102.2472200411578,1008.8495,915.4517799588423
1630,1166.5621566040697,1071.77,976.9778433959302
1626,1221.0664700212255,1123.76,1026.4535299787744
1622,1257.4122875082712,1161.24,1065.0677124917288
1618,,,
