Year,Maxdesv,Mean,Mindesv
2010,26.621862231361572,26.0442,25.466537768638428
2006,26.621862231361572,26.0442,25.466537768638428
2002,26.621862231361572,26.0442,25.466537768638428
1998,26.621862231361572,26.0442,25.466537768638428
1994,32.22496284754961,31.03715,29.849337152450385
1990,30.362237047568293,29.1996,28.036962952431708
1986,36.488295788868264,34.777,33.06570421113174
1982,42.61547414405349,40.501400000000004,38.387325855946514
1978,64.30087305989981,59.812,55.32312694010018
1974,116.22653999833659,106.55600000000001,96.88546000166343
1970,196.55276495004517,183.1845,169.81623504995486
1966,290.41835969548595,273.603,256.78764030451407
1962,346.09623184197346,331.1225,316.14876815802654
1958,353.4908180830708,336.6495,319.8081819169292
1954,388.88475017399514,370.361,351.83724982600484
1950,443.48227178570176,419.692,395.90172821429826
1946,498.3357797710328,476.0615,453.78722022896727
1942,519.9049168211076,494.6395,469.3740831788924
1938,580.5988030206331,553.3695,526.1401969793669
1934,658.0817771626456,626.2565,594.4312228373543
1930,694.5329206105898,658.5084999999999,622.48407938941
1926,722.9983513101278,687.8525,652.7066486898722
1922,825.9988835490188,788.248,750.4971164509813
1918,864.4762157684073,821.8905,779.3047842315926
1914,887.444183602967,843.9895,800.5348163970331
1910,951.7235961528311,907.98,864.236403847169
1906,987.5369619865215,941.4575,895.3780380134784
1902,1066.09953399148,1021.31,976.5204660085199
1898,1109.297859364584,1064.13,1018.9621406354162
1894,1134.3318389189585,1084.715,1035.0981610810413
1890,1162.1587353753166,1108.605,1055.0512646246834
1886,1190.521833319602,1134.48,1078.4381666803981
1882,1198.4670945478088,1140.045,1081.6229054521914
1878,1208.7394411941448,1148.625,1088.5105588058552
1874,1237.427621671337,1175.92,1114.4123783286632
1870,1252.4046869358638,1189.135,1125.8653130641362
1866,1262.9445179001264,1198.365,1133.7854820998737
1862,1283.9093241838602,1220.08,1156.2506758161396
1858,1270.9792952798666,1206.5900000000001,1142.2007047201337
1854,1271.6785200836514,1206.405,1141.1314799163486
1850,1268.5125443053266,1201.435,1134.3574556946733
1846,1270.3338840521503,1202.645,1134.9561159478496
1842,1267.3055537435034,1199.6,1131.8944462564964
1838,1261.0925617751,1193.6100000000001,1126.1274382249003
1834,1266.0651873950771,1198.97,1131.874812604923
1830,1267.8022103786016,1201.605,1135.4077896213985
1826,1270.8456442645615,1205.045,1139.2443557354386
1822,1268.4852779091032,1201.885,1135.2847220908968
1818,1267.6211034719115,1197.9850000000001,1128.3488965280887
1814,1257.4577666581013,1187.27,1117.0822333418987
1810,1245.998135403553,1177.71,1109.421864596447
1806,1227.7061881506577,1157.605,1087.5038118493424
1802,1208.6475254360553,1137.035,1065.422474563945
1798,1177.0053682444247,1103.87,1030.734631755575
1794,1162.5448106545555,1090.71,1018.8751893454445
1790,1149.5000184647172,1077.355,1005.2099815352829
1786,1137.6606712340745,1064.1149999999998,990.569328765925
1782,1113.9180077742778,1040.15,966.3819922257222
1778,1082.093272080578,1011.825,941.5567279194222
1774,1063.1004557692781,993.8595,924.6185442307219
1770,1022.3235443572963,953.287,884.2504556427037
1766,978.8508333090715,908.9455,839.0401666909286
1762,965.9908076349348,897.5795,829.1681923650654
1758,941.5499464846273,871.954,802.3580535153726
1754,909.5927431319814,840.457,771.3212568680186
1750,892.9644213335351,820.7655,748.5665786664648
1746,834.4334079690846,761.6455,688.8575920309154
1742,800.4324982153628,728.262,656.0915017846371
1738,710.2737513996171,639.8855,569.4972486003828
1734,638.7217897121625,572.907,507.0922102878376
1730,600.5406740029418,535.8115,471.08232599705815
1726,551.3223809316538,487.7885,424.25461906834624
1722,539.520331847531,475.9435,412.36666815246895
1718,525.2393457279431,462.015,398.7906542720568
1714,491.1549509390995,428.1275,365.1000490609005
1710,487.63783690512463,427.525,367.4121630948753
1706,461.1972026434151,403.467,345.7367973565849
1702,447.61735115018564,388.2495,328.8816488498144
1698,446.8422489541373,387.04200000000003,327.24175104586277
1694,433.2134263933291,372.06,310.9065736066709
1690,452.9461426631829,393.414,333.88185733681706
1686,471.0705471156203,409.45349999999996,347.83645288437964
1682,494.2985829877865,427.64549999999997,360.9924170122134
1678,524.5692909176312,458.62,392.67070908236883
1674,547.2812204795081,480.95349999999996,414.62577952049185
1670,588.3246866850918,522.9435000000001,457.56231331490835
1666,628.618424482672,562.7850000000001,496.95157551732814
1662,679.9878761009437,612.6255000000001,545.2631238990565
1658,712.7925525358976,645.1514999999999,577.5104474641023
1654,793.9219471059434,725.1959999999999,656.4700528940564
1650,801.950640029734,734.7205,667.490359970266
1646,839.5762505528066,772.7835,705.9907494471934
1642,862.5373398620006,797.5165,732.4956601379993
1638,876.1333077636293,812.0775000000001,748.0216922363709
1634,907.4171429997376,840.043,772.6688570002624
1630,907.0219695273554,840.7974999999999,774.5730304726444
1626,910.7382128967181,846.0754999999999,781.4127871032817
1622,927.6941551613634,864.11,800.5258448386367
1618,,,
