Year,Maxdesv,Mean,Mindesv
2012,303.0668674595513,284.471,265.8751325404487
2008,303.0668674595513,284.471,265.8751325404487
2004,303.0668674595513,284.471,265.8751325404487
2000,266.8957060125895,255.0075,243.11929398741046
1996,263.7771351259306,252.869,241.9608648740694
1992,259.91376999402104,250.286,240.65823000597894
1988,258.15146950218093,249.064,239.97653049781908
1984,236.42332618597916,231.1495,225.87567381402081
1980,229.4302815185262,225.141,220.8517184814738
1976,223.13846437544024,218.8235,214.50853562455976
1972,218.26045182708438,214.157,210.05354817291564
1968,212.08617344756595,207.85649999999998,203.626826552434
1964,208.55900274505905,203.9785,199.39799725494095
1960,206.4599058714014,201.524,196.5880941285986
1956,205.76256133344037,200.59050000000002,195.41843866655967
1952,201.65827788188753,196.349,191.03972211811245
1948,200.60068826042541,195.135,189.66931173957457
1944,199.75976595241,194.11,188.46023404759003
1940,196.8991910558775,191.124,185.34880894412248
1936,196.24495614703827,190.39249999999998,184.5400438529617
1932,195.41228731210748,189.5915,183.7707126878925
1928,195.09324722152164,189.44400000000002,183.7947527784784
1924,195.30136195013495,189.8195,184.33763804986506
1920,195.39061191308923,189.825,184.25938808691075
1916,197.2347606018689,191.51549999999997,185.79623939813104
1912,197.74450189167848,192.135,186.5254981083215
1908,203.8672910952107,198.25,192.6327089047893
1904,208.35274851036482,202.37650000000002,196.40025148963522
1900,214.81657539854052,208.1875,201.55842460145948
1896,222.3825486568112,215.0475,207.71245134318883
1892,229.43238034581222,221.5195,213.60661965418777
1888,236.8504274192897,227.71949999999998,218.58857258071026
1884,249.0560829457374,238.2355,227.41491705426262
1880,263.06759668385405,250.41000000000003,237.752403316146
1876,276.93130795090485,262.985,249.0386920490952
1872,288.28779419596026,271.1155,253.94320580403976
1868,312.22843514044433,291.8265,271.4245648595557
1864,340.3131876996608,311.3455,282.37781230033926
1860,366.205497022826,328.2425,290.279502977174
1856,401.81953556592424,344.46299999999997,287.1064644340757
1852,469.27505756613687,398.0645,326.85394243386315
1848,536.2319152121864,447.3275,358.42308478781354
1844,615.159819675857,515.7355,416.31118032414304
1840,658.7798176362423,548.9100000000001,439.0401823637579
1836,754.3725676587245,633.52,512.6674323412755
1832,932.7955344294414,778.5909999999999,624.3864655705584
1828,1115.5893843667418,920.922,726.2546156332584
1824,1231.2471133478368,993.0105,754.7738866521631
1820,1485.7099160745754,1220.5500000000002,955.390083925425
1816,1618.8497522471714,1308.955,999.0602477528284
1812,2059.501547429219,1741.46,1423.418452570781
1808,2472.1692468601545,2117.3999999999996,1762.6307531398447
1804,2676.467259168746,2315.555,1954.6427408312538
1800,2828.3585874558894,2444.0,2059.6414125441106
1796,3031.182878000615,2637.01,2242.8371219993855
1792,3379.191713803863,2977.9849999999997,2576.7782861961364
1788,3839.5370146574924,3456.245,3072.9529853425074
1784,4246.394668458796,3859.49,3472.5853315412032
1780,4376.276263873691,3984.8450000000003,3593.4137361263092
1776,4658.001584828254,4277.275,3896.5484151717455
1772,4786.211953176936,4399.52,4012.8280468230646
1768,4877.039606357996,4486.755,4096.470393642005
1764,4927.538073823723,4546.225,4164.911926176278
1760,5050.514842100866,4678.915,4307.315157899134
1756,5170.559465075174,4802.875,4435.190534924826
1752,5250.036796280062,4889.075,4528.113203719938
1748,5248.3148938461,4893.505,4538.6951061539
1744,5285.140086272779,4936.57,4587.999913727221
1740,5286.620978554149,4944.11,4601.599021445851
1736,5234.444036531878,4903.16,4571.875963468122
1732,5296.177086574306,4967.705,4639.232913425694
1728,5286.46781946609,4965.6849999999995,4644.902180533909
1724,5313.082732244779,4999.895,4686.707267755221
1720,5400.118803018505,5093.225,4786.331196981496
1716,5434.674676882737,5136.92,4839.165323117263
1712,5474.999040348877,5193.135,4911.270959651123
1708,5453.552660308895,5179.02,4904.487339691106
1704,5493.4926317298505,5227.4349999999995,4961.3773682701485
1700,5484.877483008317,5225.115,4965.352516991683
1696,5458.565557699961,5205.825,4953.084442300039
1692,5488.207319943461,5240.195,4992.182680056539
1688,5554.962728727593,5307.455,5059.947271272407
1684,5528.3231752230895,5284.549999999999,5040.776824776909
1680,5596.80850221246,5356.435,5116.061497787541
1676,5625.10436060455,5385.805,5146.505639395451
1672,5618.095192558897,5380.39,5142.684807441104
1668,5675.882806778554,5436.58,5197.2771932214455
1664,5652.979322129222,5417.385,5181.790677870778
1660,5677.272234041094,5446.65,5216.027765958906
1656,5654.134532013381,5422.65,5191.165467986618
1652,5714.172381544279,5478.115,5242.05761845572
1648,5730.71586296976,5493.5599999999995,5256.404137030239
1644,5796.453487321865,5552.540000000001,5308.626512678136
1640,5830.419364085803,5584.005,5337.590635914197
1636,5792.9404362432415,5549.905,5306.869563756758
1632,5755.122235088208,5513.82,5272.517764911791
1628,5768.918606373426,5530.345,5291.7713936265745
1624,5786.447074961503,5554.74,5323.032925038497
1620,5793.907493453154,5566.29,5338.672506546846
1616,5777.25004258054,5542.73,5308.209957419459
1612,,,
